year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity,tourist_arrivals,usd_lkr_rate,inflation_rate
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.05,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.11,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.0,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.69,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,198.0,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.6,7.01478071238195
2021-06,25.0,0.0447588086128234,0.5789539899486487,0.1458285193874063,1614.0,197.55,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.19,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.47,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.05,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.05,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.7,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.52,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,199.0,7.01478071238195
2021-07,42.0,0.0754172745205107,0.6187151977331495,0.2836594616518381,2429.0,198.5,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.5,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,200.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.25,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.5,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.1,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.16,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,198.94,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,198.84,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
2021-08,40.0,-0.0570000305771827,0.6270686741510614,-0.2116737213527173,5040.0,199.0,7.01478071238195
